,model,difficulty,language,code,problem
10,deepseek,easy,c,"#include <stdlib.h>

/**
 * Definition for a binary tree node.
 * struct TreeNode {
 *     int val;
 *     struct TreeNode *left;
 *     struct TreeNode *right;
 * };
 */

typedef struct TreeNode TreeNode;

double* averageOfLevels(TreeNode* root, int* returnSize) {
    if (!root) {
        *returnSize = 0;
        return NULL;
    }

    TreeNode** queue = (TreeNode**)malloc(10000 * sizeof(TreeNode*));
    int front = 0, rear = 0;
    queue[rear++] = root;
    double* averages = (double*)malloc(10000 * sizeof(double));
    int levelCount = 0;

    while (front < rear) {
        int levelLength = rear - front;
        double sum = 0.0;
        for (int i = 0; i < levelLength; ++i) {
            TreeNode* node = queue[front++];
            sum += node->val;
            if (node->left) queue[rear++] = node->left;
            if (node->right) queue[rear++] = node->right;
        }
        averages[levelCount++] = sum / levelLength;
    }

    *returnSize = levelCount;
    free(queue);
    return averages;
}",average-of-levels-in-binary-tree
11,deepseek,easy,python3,"from collections import deque

# Definition for a binary tree node.
# class TreeNode(object):
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right

class Solution(object):
    def averageOfLevels(self, root):
        """"""
        :type root: Optional[TreeNode]
        :rtype: List[float]
        """"""
        if not root:
            return []
        
        queue = deque([root])
        averages = []
        
        while queue:
            level_length = len(queue)
            level_sum = 0.0
            
            for _ in range(level_length):
                node = queue.popleft()
                level_sum += node.val
                if node.left:
                    queue.append(node.left)
                if node.right:
                    queue.append(node.right)
            
            averages.append(level_sum / level_length)
        
        return averages",average-of-levels-in-binary-tree
12,deepseek,hard,c,"int maxProfit(int* prices, int pricesSize) {
    if (pricesSize == 0) return 0;
    
    int buy1 = -prices[0], sell1 = 0;
    int buy2 = -prices[0], sell2 = 0;
    
    for (int i = 1; i < pricesSize; i++) {
        buy1 = (buy1 > -prices[i]) ? buy1 : -prices[i];
        sell1 = (sell1 > buy1 + prices[i]) ? sell1 : buy1 + prices[i];
        buy2 = (buy2 > sell1 - prices[i]) ? buy2 : sell1 - prices[i];
        sell2 = (sell2 > buy2 + prices[i]) ? sell2 : buy2 + prices[i];
    }
    
    return sell2;
}",best-time-to-buy-and-sell-stock-iii
13,deepseek,hard,c,"#include <limits.h>



int helper(struct TreeNode* root, int* maxSum) {
    if (root == NULL) return 0;
    
    int leftSum = helper(root->left, maxSum);
    int rightSum = helper(root->right, maxSum);
    
    // Calculate the maximum path sum that includes the current node
    int currentMax = root->val;
    if (leftSum > 0) currentMax += leftSum;
    if (rightSum > 0) currentMax += rightSum;
    
    // Update the global maximum path sum
    if (currentMax > *maxSum) {
        *maxSum = currentMax;
    }
    
    // Return the maximum path sum that can be extended to the parent node
    int maxChild = leftSum > rightSum ? leftSum : rightSum;
    if (maxChild > 0) {
        return root->val + maxChild;
    } else {
        return root->val;
    }
}

int maxPathSum(struct TreeNode* root) {
    int maxSum = INT_MIN;
    helper(root, &maxSum);
    return maxSum;
}",binary-tree-maximum-path-sum
14,deepseek,hard,c,"int candy(int* ratings, int ratingsSize) {
    if (ratingsSize == 0) return 0;
    
    int* candies = (int*)malloc(ratingsSize * sizeof(int));
    for (int i = 0; i < ratingsSize; i++) {
        candies[i] = 1;
    }
    
    // Left to right pass
    for (int i = 1; i < ratingsSize; i++) {
        if (ratings[i] > ratings[i - 1]) {
            candies[i] = candies[i - 1] + 1;
        }
    }
    
    // Right to left pass
    for (int i = ratingsSize - 2; i >= 0; i--) {
        if (ratings[i] > ratings[i + 1]) {
            if (candies[i] <= candies[i + 1]) {
                candies[i] = candies[i + 1] + 1;
            }
        }
    }
    
    int total = 0;
    for (int i = 0; i < ratingsSize; i++) {
        total += candies[i];
    }
    
    free(candies);
    return total;
}",candy
15,deepseek,medium,python3,"from collections import deque

# Definition for a binary tree node.
class TreeNode(object):
    def __init__(self, val=0, left=None, right=None):
        self.val = val
        self.left = left
        self.right = right

class Solution(object):
    def levelOrder(self, root):
        """"""
        :type root: TreeNode
        :rtype: List[List[int]]
        """"""
        if not root:
            return []
        
        result = []
        queue = deque([root])
        
        while queue:
            level_size = len(queue)
            current_level = []
            
            for _ in range(level_size):
                node = queue.popleft()
                current_level.append(node.val)
                
                if node.left:
                    queue.append(node.left)
                if node.right:
                    queue.append(node.right)
            
            result.append(current_level)
        
        return result",binary-tree-level-order-traversal
16,deepseek,medium,c,"int maxProfit(int* prices, int pricesSize) {
    int profit = 0;
    
    for (int i = 1; i < pricesSize; i++) {
        if (prices[i] > prices[i - 1]) {
            profit += prices[i] - prices[i - 1];
        }
    }
    
    return profit;
}
",best-time-to-buy-and-sell-stock-ii
17,deepseek,medium,python3,"class Solution(object):
    def maxProfit(self, prices):
        """"""
        :type prices: List[int]
        :rtype: int
        """"""
        profit = 0
        for i in range(1, len(prices)):
            if prices[i] > prices[i - 1]:
                profit += prices[i] - prices[i - 1]
        return profit
",best-time-to-buy-and-sell-stock-ii
18,gpt,easy,c,"#include <stdio.h>

int maxProfit(int* prices, int pricesSize) {
    if (pricesSize < 2) return 0;

    int minPrice = prices[0];
    int maxProfit = 0;

    for (int i = 1; i < pricesSize; i++) {
        if (prices[i] < minPrice) {
            minPrice = prices[i]; // atualiza o menor preço visto até agora
        } else {
            int profit = prices[i] - minPrice;
            if (profit > maxProfit) {
                maxProfit = profit; // atualiza o maior lucro se necessário
            }
        }
    }

    return maxProfit;
}
",best-time-to-buy-and-sell-stock
19,gpt,easy,c,"#include <stdio.h>
#include <stdlib.h>



// Estrutura para fila
typedef struct QueueNode {
    struct TreeNode* node;
    struct QueueNode* next;
} QueueNode;

typedef struct {
    QueueNode* front;
    QueueNode* rear;
    int size;
} Queue;

// Funções auxiliares para manipular a fila
Queue* createQueue() {
    Queue* q = (Queue*) malloc(sizeof(Queue));
    q->front = q->rear = NULL;
    q->size = 0;
    return q;
}

void enqueue(Queue* q, struct TreeNode* node) {
    QueueNode* temp = (QueueNode*) malloc(sizeof(QueueNode));
    temp->node = node;
    temp->next = NULL;
    if (q->rear) q->rear->next = temp;
    q->rear = temp;
    if (!q->front) q->front = temp;
    q->size++;
}

struct TreeNode* dequeue(Queue* q) {
    if (!q->front) return NULL;
    QueueNode* temp = q->front;
    struct TreeNode* node = temp->node;
    q->front = q->front->next;
    if (!q->front) q->rear = NULL;
    free(temp);
    q->size--;
    return node;
}

int isEmpty(Queue* q) {
    return q->size == 0;
}

// Função principal
double* averageOfLevels(struct TreeNode* root, int* returnSize) {
    if (!root) {
        *returnSize = 0;
        return NULL;
    }

    double* result = (double*) malloc(10000 * sizeof(double));
    *returnSize = 0;

    Queue* q = createQueue();
    enqueue(q, root);

    while (!isEmpty(q)) {
        int levelSize = q->size;
        long long sum = 0;

        for (int i = 0; i < levelSize; i++) {
            struct TreeNode* node = dequeue(q);
            sum += node->val;
            if (node->left) enqueue(q, node->left);
            if (node->right) enqueue(q, node->right);
        }

        result[*returnSize] = (double)sum / levelSize;
        (*returnSize)++;
    }

    free(q);
    return result;
}
",average-of-levels-in-binary-tree
20,gpt,easy,c,"#include <stdio.h>
#include <stdlib.h>
#include <string.h>

char* addBinary(const char* a, const char* b) {
    int lenA = strlen(a);
    int lenB = strlen(b);
    int maxLen = lenA > lenB ? lenA : lenB;
    
    // Alocar espaço suficiente para o resultado (máx + 1 para carry, +1 para '\0')
    char* result = (char*)malloc(maxLen + 2);
    result[maxLen + 1] = '\0';

    int i = lenA - 1, j = lenB - 1, k = maxLen, carry = 0;

    while (i >= 0 || j >= 0 || carry) {
        int bitA = i >= 0 ? a[i--] - '0' : 0;
        int bitB = j >= 0 ? b[j--] - '0' : 0;
        int sum = bitA + bitB + carry;

        result[k--] = (sum % 2) + '0';
        carry = sum / 2;
    }

    // Se não houve carry no final, retornamos a string começando de result + 1
    if (k == 0)
        return result + 1;
    
    // Caso contrário, colocamos '1' no início
    result[0] = '1';
    return result;
}
",add-binary
21,gpt,hard,c,"#include <limits.h>


// Helper function to compute max of two integers
int max(int a, int b) {
    return a > b ? a : b;
}

// Global variable to store the max path sum
int maxSum;

// Recursive function to compute max gain from each node
int maxGain(struct TreeNode* node) {
    if (node == NULL) return 0;

    // Recursively get max gain from left and right subtrees
    int leftGain = max(maxGain(node->left), 0);   // Ignore paths with negative sum
    int rightGain = max(maxGain(node->right), 0);

    // Path sum that passes through the current node (can’t be extended upwards)
    int currentPathSum = node->val + leftGain + rightGain;

    // Update global max if needed
    if (currentPathSum > maxSum)
        maxSum = currentPathSum;

    // Return max gain if continuing the same path upwards
    return node->val + max(leftGain, rightGain);
}

// Main function
int maxPathSum(struct TreeNode* root) {
    maxSum = INT_MIN; // Initialize to smallest possible int
    maxGain(root);
    return maxSum;
}
",binary-tree-maximum-path-sum
22,gpt,hard,c,"#include <stdio.h>
#include <stdlib.h>
#include <ctype.h>

#define STACK_SIZE 100000

int calculate(char* s) {
    int stack[STACK_SIZE];
    int top = -1;

    int result = 0;
    int number = 0;
    int sign = 1;

    for (int i = 0; s[i] != '\0'; i++) {
        char c = s[i];

        if (isdigit(c)) {
            number = number * 10 + (c - '0');
        } else if (c == '+') {
            result += sign * number;
            number = 0;
            sign = 1;
        } else if (c == '-') {
            result += sign * number;
            number = 0;
            sign = -1;
        } else if (c == '(') {
            // Push current result and sign to stack
            stack[++top] = result;
            stack[++top] = sign;
            result = 0;
            sign = 1;
        } else if (c == ')') {
            result += sign * number;
            number = 0;
            result *= stack[top--];    // sign before '('
            result += stack[top--];    // result before '('
        }
        // ignore spaces
    }

    result += sign * number;
    return result;
}
",basic-calculator
23,gpt,hard,c,"#include <stdio.h>
#include <limits.h>

double findMedianSortedArrays(int* nums1, int nums1Size, int* nums2, int nums2Size) {
    // Ensure nums1 is smaller
    if (nums1Size > nums2Size) {
        return findMedianSortedArrays(nums2, nums2Size, nums1, nums1Size);
    }
    
    int m = nums1Size;
    int n = nums2Size;
    int imin = 0, imax = m, half_len = (m + n + 1) / 2;
    int max_of_left, min_of_right;
    
    while (imin <= imax) {
        int i = (imin + imax) / 2;
        int j = half_len - i;
        
        if (i < m && nums2[j - 1] > nums1[i]) {
            // i is too small, must increase it
            imin = i + 1;
        } else if (i > 0 && nums1[i - 1] > nums2[j]) {
            // i is too big, must decrease it
            imax = i - 1;
        } else {
            // i is perfect
            
            if (i == 0) {
                max_of_left = nums2[j - 1];
            } else if (j == 0) {
                max_of_left = nums1[i - 1];
            } else {
                max_of_left = nums1[i - 1] > nums2[j - 1] ? nums1[i - 1] : nums2[j - 1];
            }
            
            if ((m + n) % 2 == 1) {
                return max_of_left; // odd length
            }
            
            if (i == m) {
                min_of_right = nums2[j];
            } else if (j == n) {
                min_of_right = nums1[i];
            } else {
                min_of_right = nums1[i] < nums2[j] ? nums1[i] : nums2[j];
            }
            
            return (max_of_left + min_of_right) / 2.0;
        }
    }
    
    // If we reach here, input was invalid
    return 0.0;
}
",median-of-two-sorted-arrays
24,gpt,medium,python3,"from collections import deque

class Solution(object):
    def levelOrder(self, root):
        """"""
        :type root: Optional[TreeNode]
        :rtype: List[List[int]]
        """"""
        if not root:
            return []

        result = []
        queue = deque([root])

        while queue:
            level_size = len(queue)
            level = []

            for _ in range(level_size):
                node = queue.popleft()
                level.append(node.val)

                if node.left:
                    queue.append(node.left)
                if node.right:
                    queue.append(node.right)

            result.append(level)

        return result
",binary-tree-level-order-traversal
25,gpt,medium,c,"int maxProfit(int* prices, int pricesSize) {
    int profit = 0;
    
    for (int i = 1; i < pricesSize; i++) {
        if (prices[i] > prices[i - 1]) {
            profit += prices[i] - prices[i - 1];
        }
    }
    
    return profit;
}
",best-time-to-buy-and-sell-stock-ii
26,gpt,medium,python3,"class Solution(object):
    def maxProfit(self, prices):
        """"""
        :type prices: List[int]
        :rtype: int
        """"""
        profit = 0
        for i in range(1, len(prices)):
            if prices[i] > prices[i - 1]:
                profit += prices[i] - prices[i - 1]
        return profit
",best-time-to-buy-and-sell-stock-ii
